_id,languages,job,state,dob,gender
"11megha89","[ ""Hindi"" ]","Student","Haryana","18-04-1989","Female"
"2ez4nimzi","[ ""Hindi"" ]","Student","Delhi","16-06-2000","Male"
"9953547227 ","[ ""Hindi"" ]","Student","Delhi","06-09-1998","Male"
"9958221803","[ ""Hindi"" ]","Student","Delhi","09-09-1996","Male"
"ABCDEFGHI JKLM","[ ""Hindi"" ]","Service","Delhi","26-01-1960","Male"
"ANAND","[ ""Hindi"" ]","Self-employed","Haryana","25-03-1967","Male"
"Aakanksha","[ ""Hindi"" ]","Service","Delhi","01-09-1994","Female"
"Aakash","[ ""Hindi"" ]","Service","Jharkhand","18-10-1992","Male"
"Aakash22","[ ""Hindi"" ]","Student","Delhi","02-02-1996","Male"
"Aashisha","[ ""Hindi"", ""Bengali"" ]","Student","Delhi","03-03-1992","Female"
"Aayushi","[ ""Hindi"" ]","Student","Andhra Pradesh","30-10-1991","Female"
"Abhijeet Mishra ","[ ""Hindi"" ]","Others","Haryana","25-12-1991","Male"
"Abhimanyu Tanwar","[ ""Hindi"" ]","Student","Delhi","16-04-1997","Male"
"Abhishek","[ ""Hindi"", ""Bengali"" ]","Student","Delhi","13-11-1997","Male"
"Abhishek Gupta","[ ""Hindi"" ]","Student","Delhi","23-12-1997","Male"
"Aditipathak","[ ""Hindi"" ]","Student","Delhi","01-04-1997","Female"
"Aditya","[ ""Hindi"" ]","Student","Delhi","16-04-1994","Male"
"Afsha shah","[ ""Hindi"" ]","Service","Uttarakhand","15-08-1992","Female"
"Ahmad","[ ""Urdu"" ]","Student","Delhi","07-02-1990","Male"
"Ajay","[ ""Hindi"" ]","Service","Uttar Pradesh","10-09-1990","Male"
"Ajay12","[ ""Hindi"" ]","Self-employed","Delhi","26-04-1963","Male"
"Ajay1998","[ ""Hindi"" ]","Student","Delhi","10-08-1993","Male"
"Akanksha","[ ""Hindi"" ]","Service","Delhi","28-08-1991","Female"
"Akanksha Mishra","[ ""Hindi"" ]","Student","Delhi","16-06-1993","Female"
"Akansha","[ ""Hindi"" ]","Student","Delhi","18-04-1999","Female"
"Akash","[ ""Hindi"", ""Bengali"", ""Bhojpuri"", ""Rajasthani"" ]","Service","Rajasthan","15-07-1992","Male"
